"Mot";"Pinyin";"Nature / Structure";"Signification";"Exemple";"HSK";"Chapitre"
"头";"tóu";"n.";"tête";"我头疼。
wǒ tóu téng。
J’ai mal à la tête。";"5";"1"
"脑袋";"nǎodai";"n.";"crâne, tête (familier)";"他的脑袋里有很多主意。
tā de nǎodai lǐ yǒu hěn duō zhǔyi。
Il a plein d’idées dans la tête。";"5";"1"
"头发";"tóufa";"n.";"cheveux";"她的头发很长。
tā de tóufa hěn cháng。
Ses cheveux sont longs。";"5";"1"
"额头";"étóu";"n.";"front";"他额头上有汗。
tā étóu shàng yǒu hàn。
Il a de la sueur sur le front。";"5";"1"
"眉毛";"méimao";"n.";"sourcil";"她的眉毛很细。
tā de méimao hěn xì。
Ses sourcils sont fins。";"5";"1"
"眼睛";"yǎnjing";"n.";"œil";"她的眼睛很大。
tā de yǎnjing hěn dà。
Ses yeux sont grands。";"5";"1"
"耳朵";"ěrduo";"n.";"oreille";"你的耳朵很红。
nǐ de ěrduo hěn hóng。
Tes oreilles sont rouges。";"5";"1"
"鼻子";"bízi";"n.";"nez";"她的鼻子挺高。
tā de bízi tǐng gāo。
Elle a un nez droit。";"5";"1"
"嘴";"zuǐ";"n.";"bouche";"别张嘴太大。
bié zhāng zuǐ tài dà。
N’ouvre pas trop la bouche。";"5";"1"
"牙齿";"yáchǐ";"n.";"dent";"刷牙对牙齿好。
shuā yá duì yáchǐ hǎo。
Se brosser les dents est bon pour les dents。";"5";"1"
"舌头";"shétou";"n.";"langue";"他伸出舌头。
tā shēnchū shétou。
Il tire la langue。";"5";"1"
"脸";"liǎn";"n.";"visage";"她的脸很漂亮。
tā de liǎn hěn piàoliang。
Son visage est beau。";"5";"1"
"脸颊";"liǎnjiá";"n.";"joue";"她的脸颊红红的。
tā de liǎnjiá hóng hóng de。
Ses joues sont rouges。";"5";"1"
"下巴";"xiàba";"n.";"menton";"他摸了摸下巴。
tā mō le mō xiàba。
Il s’est touché le menton。";"5";"1"
"脖子";"bózi";"n.";"cou";"她脖子上戴着项链。
tā bózi shàng dàizhe xiàngliàn。
Elle porte un collier au cou。";"5";"1"
"肩膀";"jiānbǎng";"n.";"épaule";"他拍了拍我的肩膀。
tā pāi le pāi wǒ de jiānbǎng。
Il m’a tapé sur l’épaule。";"5";"1"
"背";"bèi";"n.";"dos";"我的背有点疼。
wǒ de bèi yǒu diǎn téng。
J’ai un peu mal au dos。";"5";"1"
"胸";"xiōng";"n.";"poitrine";"他拍了拍胸口。
tā pāi le pāi xiōngkǒu。
Il s’est frappé la poitrine。";"5";"1"
"胳膊";"gēbo";"n.";"bras";"他的胳膊很强壮。
tā de gēbo hěn qiángzhuàng。
Ses bras sont forts。";"5";"1"
"手臂";"shǒubì";"n.";"bras (formel)";"护士给他打了手臂上的针。
hùshì gěi tā dǎ le shǒubì shàng de zhēn。
L’infirmière lui a fait une piqûre au bras。";"5";"1"
"手";"shǒu";"n.";"main";"请举起手。
qǐng jǔqǐ shǒu。
Levez la main, s’il vous plaît。";"5";"1"
"手指";"shǒuzhǐ";"n.";"doigt";"她的手指很细长。
tā de shǒuzhǐ hěn xìcháng。
Ses doigts sont fins et longs。";"5";"1"
"拇指";"mǔzhǐ";"n.";"pouce";"他竖起大拇指。
tā shù qǐ dà mǔzhǐ。
Il lève le pouce。";"5";"1"
"手腕";"shǒuwàn";"n.";"poignet";"她的手腕上戴着表。
tā de shǒuwàn shàng dàizhe biǎo。
Elle porte une montre au poignet。";"5";"1"
"肘";"zhǒu";"n.";"coude";"他用肘碰了我一下。
tā yòng zhǒu pèng le wǒ yīxià。
Il m’a donné un coup de coude。";"5";"1"
"腰";"yāo";"n.";"taille, reins";"我的腰酸。
wǒ de yāo suān。
J’ai mal au dos (aux reins)。";"5";"1"
"肚子";"dùzi";"n.";"ventre";"我肚子饿了。
wǒ dùzi è le。
J’ai faim。";"5";"1"
"胃";"wèi";"n.";"estomac";"他的胃不太好。
tā de wèi bú tài hǎo。
Il a un estomac fragile。";"5";"1"
"屁股";"pìgu";"n.";"fesses";"宝宝摔到屁股上了。
bǎobao shuāi dào pìgu shàng le。
Le bébé est tombé sur les fesses。";"5";"1"
"大腿";"dàtuǐ";"n.";"cuisse";"他的大腿很结实。
tā de dàtuǐ hěn jiēshi。
Ses cuisses sont musclées。";"5";"1"
"膝盖";"xīgài";"n.";"genou";"我摔伤了膝盖。
wǒ shuāishāng le xīgài。
Je me suis blessé au genou。";"5";"1"
"小腿";"xiǎotuǐ";"n.";"mollet";"我的小腿有点疼。
wǒ de xiǎotuǐ yǒu diǎn téng。
Mon mollet me fait mal。";"5";"1"
"脚";"jiǎo";"n.";"pied";"我的脚冷。
wǒ de jiǎo lěng。
J’ai froid aux pieds。";"5";"1"
"脚趾";"jiǎozhǐ";"n.";"orteil";"她的脚趾很小。
tā de jiǎozhǐ hěn xiǎo。
Ses orteils sont petits。";"5";"1"
"脚跟";"jiǎogēn";"n.";"talon";"跑步时脚跟要轻。
pǎobù shí jiǎogēn yào qīng。
Pose ton talon doucement en courant。";"5";"1"
"脚踝";"jiǎohuái";"n.";"cheville";"我扭到脚踝了。
wǒ niǔ dào jiǎohuái le。
Je me suis tordu la cheville。";"5";"1"
"细节";"xìjié";"n.";"détail";"爱情在于细节。
àiqíng zàiyú xìjié。
L’amour se trouve dans les détails。";"5";"1"
"电台";"diàntái";"n.";"station de radio";"他在电台工作。
tā zài diàntái gōngzuò。
Il travaille à la radio。";"5";"1"
